"TIME","GEO","TRA_INFR","UNIT","Value","Flag and Footnotes"
"2006","Luxembourg","E-roads","Kilometre",":",""
"2006","Hungary","Motorways","Kilometre","785",""
"2006","Hungary","E-roads","Kilometre","2,133",""
"2006","Malta","Motorways","Kilometre",":",""
"2006","Malta","E-roads","Kilometre",":",""
"2006","Netherlands","Motorways","Kilometre","2,604",""
"2006","Netherlands","E-roads","Kilometre",":",""
"2006","Austria","Motorways","Kilometre","1,678",""
"2006","Austria","E-roads","Kilometre","2,235",""
"2006","Poland","Motorways","Kilometre","663",""
"2006","Poland","E-roads","Kilometre","5,500",""
"2006","Portugal","Motorways","Kilometre","2,545","d"
"2006","Portugal","E-roads","Kilometre","2,262","d"
"2006","Romania","Motorways","Kilometre","228",""
"2006","Romania","E-roads","Kilometre","5,883",""
"2006","Slovenia","Motorways","Kilometre","579",""
"2006","Slovenia","E-roads","Kilometre","614",""
"2006","Slovakia","Motorways","Kilometre","327.5",""
"2006","Slovakia","E-roads","Kilometre","1,537.1",""
"2006","Finland","Motorways","Kilometre","700",""
"2006","Finland","E-roads","Kilometre","4,279",""
"2006","Sweden","Motorways","Kilometre","1,744",""
"2006","Sweden","E-roads","Kilometre","5,293",""
"2006","United Kingdom","Motorways","Kilometre","3,669.64",""
"2006","United Kingdom","E-roads","Kilometre","3,756","d"
"2006","Iceland","Motorways","Kilometre",":",""
"2006","Iceland","E-roads","Kilometre",":",""
"2006","Norway","Motorways","Kilometre","271",""
"2006","Norway","E-roads","Kilometre",":",""
"2006","Switzerland","Motorways","Kilometre","1,361",""
"2006","Switzerland","E-roads","Kilometre","1,466",""
"2006","Former Yugoslav Republic of Macedonia, the","Motorways","Kilometre","216",""
"2006","Former Yugoslav Republic of Macedonia, the","E-roads","Kilometre","548",""
"2006","Turkey","Motorways","Kilometre","1,908",""
"2006","Turkey","E-roads","Kilometre","8,878",""
"2007","Belgium","Motorways","Kilometre","1,763",""
"2007","Belgium","E-roads","Kilometre",":",""
"2007","Bulgaria","Motorways","Kilometre","418",""
"2007","Bulgaria","E-roads","Kilometre",":",""
"2007","Czechia","Motorways","Kilometre","657",""
"2007","Czechia","E-roads","Kilometre","2,595",""
"2007","Denmark","Motorways","Kilometre","1,111",""
"2007","Denmark","E-roads","Kilometre","936",""
"2007","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","12,594",""
"2007","Germany (until 1990 former territory of the FRG)","E-roads","Kilometre",":",""
"2007","Estonia","Motorways","Kilometre","96",""
"2007","Estonia","E-roads","Kilometre",":",""
"2007","Ireland","Motorways","Kilometre","269",""
"2007","Ireland","E-roads","Kilometre",":",""
"2007","Greece","Motorways","Kilometre",":",""
"2007","Greece","E-roads","Kilometre",":",""
"2007","Spain","Motorways","Kilometre","13,013","d"
"2007","Spain","E-roads","Kilometre",":",""
"2007","France","Motorways","Kilometre","10,958",""
"2007","France","E-roads","Kilometre","13,218",""
"2007","Croatia","Motorways","Kilometre","1,156","d"
"2007","Croatia","E-roads","Kilometre","2,256",""
"2007","Italy","Motorways","Kilometre","6,588",""
"2007","Italy","E-roads","Kilometre",":",""
"2007","Cyprus","Motorways","Kilometre","257",""
"2007","Cyprus","E-roads","Kilometre",":",""
"2007","Latvia","Motorways","Kilometre","0",""
"2007","Latvia","E-roads","Kilometre","202",""
"2007","Lithuania","Motorways","Kilometre","309",""
"2007","Lithuania","E-roads","Kilometre","1,649",""
"2007","Luxembourg","Motorways","Kilometre","147",""
"2007","Luxembourg","E-roads","Kilometre",":",""
"2007","Hungary","Motorways","Kilometre","858",""
"2007","Hungary","E-roads","Kilometre","2,195",""
"2007","Malta","Motorways","Kilometre",":",""
"2007","Malta","E-roads","Kilometre",":",""
"2007","Netherlands","Motorways","Kilometre","2,582",""
"2007","Netherlands","E-roads","Kilometre",":",""
"2007","Austria","Motorways","Kilometre","1,696",""
"2007","Austria","E-roads","Kilometre","2,250",""
"2007","Poland","Motorways","Kilometre","663",""
"2007","Poland","E-roads","Kilometre","5,500",""
"2007","Portugal","Motorways","Kilometre","2,613","d"
"2007","Portugal","E-roads","Kilometre","2,258","d"
"2007","Romania","Motorways","Kilometre","281",""
"2007","Romania","E-roads","Kilometre","5,983",""
"2007","Slovenia","Motorways","Kilometre","578",""
"2007","Slovenia","E-roads","Kilometre","614",""
"2007","Slovakia","Motorways","Kilometre","364.5",""
